6666833.677,2187712.959,0.27809
6666833.668,2187712.959,0.33535
6666833.678,2187712.954,0.47949
6666833.672,2187712.957,1.1019
6666833.682,2187712.958,1.11176
6666833.675,2187712.955,0.14608
6666833.676,2187712.955,1.23696
6666833.679,2187712.955,0.86192
6666833.678,2187712.962,-0.0089
6666833.681,2187712.943,0.70551
6666833.672,2187712.947,1.022
6666833.683,2187712.972,0.97032
6666833.68,2187713.099,1.50472
6666833.687,2187713.433,0.8754
6666833.696,2187713.928,0.80792
6666833.729,2187715.022,0.56692
6666833.701,2187716.719,0.38463
6666833.641,2187718.643,1.0686
6666833.448,2187721.151,0.114
6666833.03,2187724.171,1.42265
6666832.417,2187727.583,1.60814
6666831.464,2187731.741,1.47949
6666830.024,2187736.302,1.70955
6666828.306,2187740.46,1.21347
6666826.324,2187744.864,1.3255
6666823.883,2187749.603,1.18694
6666821.305,2187754.074,1.71469
6666819.026,2187758.303,0.47483
6666817.174,2187762.591,1.94693
6666815.413,2187767.015,1.56348
6666813.794,2187771.432,2.41908
6666812.499,2187775.897,0.77122
6666811.578,2187780.358,1.34589
6666811.042,2187784.772,1.87168
6666810.61,2187789.19,1.72145
6666810.231,2187793.725,1.91711
6666809.988,2187798.395,1.96484
6666809.874,2187803.076,2.30628
6666809.808,2187807.768,2.37309
6666809.837,2187812.08,1.52909
6666809.917,2187815.632,2.72573
6666809.927,2187817.867,2.6033
6666809.958,2187818.546,2.30944
6666809.948,2187818.477,1.69796
6666809.947,2187818.47,1.69796
6666809.942,2187818.47,2.45366
6666809.952,2187818.472,2.12977
6666809.941,2187818.472,1.86335
6666809.95,2187818.464,4.10138
6666809.941,2187818.477,3.1952
6666809.948,2187818.481,2.24856
6666809.94,2187818.478,2.24856
6666809.947,2187818.465,3.29157
6666809.95,2187818.473,2.80529
6666809.954,2187818.475,2.09952
6666809.942,2187818.472,2.28361
6666809.948,2187818.463,2.4216
6666809.94,2187818.474,3.52528
6666809.931,2187818.413,1.87242
6666809.938,2187818.379,1.93862
6666809.941,2187818.385,2.96718
6666809.944,2187818.379,1.95873
6666809.961,2187818.673,1.40565
6666809.979,2187819.632,2.64576
6666809.986,2187821.83,2.80255
6666810.111,2187825.311,2.57596
6666810.306,2187829.761,1.58473
6666810.442,2187834.787,1.063
6666810.581,2187839.99,1.52755
6666810.882,2187845.126,0.34805
6666810.996,2187850.19,0.34805
6666811.138,2187855.113,0.34805
6666811.283,2187859.971,1.45786
6666811.413,2187864.699,0.22204
6666811.686,2187869.489,1.79108
6666812.092,2187874.202,1.16205
6666812.541,2187878.923,2.94291
6666812.871,2187883.619,1.65028
6666812.984,2187888.028,1.31935
6666812.954,2187892.181,1.77531
6666812.676,2187896.242,2.43318
6666812.472,2187900.329,1.93968
6666812.346,2187904.487,1.25799
6666812.207,2187908.8,1.33319
6666812.247,2187913.221,1.70828
6666812.299,2187917.794,1.71499
6666812.383,2187922.511,1.20542
6666812.471,2187927.073,1.60053
6666812.574,2187931.317,0.69277
6666812.655,2187935.319,1.11701
6666812.87,2187939.395,1.84009
6666813.258,2187943.381,2.21113
6666813.873,2187946.917,1.11015
6666814.778,2187949.979,1.39968
6666815.831,2187952.922,1.00497
6666817.269,2187955.634,1.38909
6666818.857,2187958.096,1.7564
6666820.384,2187960.24,1.31489
6666822.006,2187962.234,1.58796
6666823.649,2187963.917,1.06858
6666825.641,2187965.526,1.31499
6666828.218,2187967.384,0.93646
6666831.673,2187969.181,0.6913
6666836.318,2187970.882,1.40192
6666841.137,2187971.972,1.43538
6666846.292,2187972.455,1.01675
6666851.463,2187972.793,1.60927
6666856.74,2187972.88,2.0744
6666861.964,2187972.897,0.72497
6666867.099,2187972.915,1.14533
6666872.337,2187972.839,2.00491
6666877.585,2187972.737,1.16868
6666882.899,2187972.702,1.31672
6666888.175,2187972.586,2.22256
6666893.439,2187972.562,1.32761
6666898.815,2187972.501,1.72814
6666904.031,2187972.399,1.22234
6666909.209,2187972.267,2.72354
6666914.444,2187972.139,1.98006
6666919.494,2187972.028,1.95984
6666924.577,2187971.942,1.85572
6666929.643,2187971.926,1.38623
6666934.645,2187971.799,0.79237
6666939.601,2187971.69,1.53706
6666944.689,2187971.538,1.71014
6666949.78,2187971.407,1.37127
6666954.955,2187971.335,0.75252
6666960.104,2187971.363,2.27325
6666965.326,2187971.276,1.27182
6666970.525,2187971.249,1.27712
6666975.686,2187971.203,1.09459
6666980.803,2187971.134,2.12101
6666985.795,2187970.987,1.12625
6666990.769,2187970.722,1.27474
6666995.676,2187970.709,1.11493
6667000.544,2187970.604,0.7667
6667005.291,2187970.535,0.43867
6667009.951,2187970.438,0.04902
6667014.608,2187970.407,0.75247
6667019.288,2187970.321,0.76394
6667024.02,2187970.209,2.01153
6667028.897,2187970.039,1.79612
6667033.472,2187969.978,1.31633
6667038.307,2187969.815,1.18075
6667043.051,2187969.703,1.06048
6667047.819,2187969.538,0.83146
6667052.43,2187969.387,2.04264
6667057.066,2187969.292,1.76148
6667061.493,2187969.041,1.53659
6667065.996,2187968.815,0.53423
6667070.601,2187968.551,1.07055
6667075.28,2187968.402,2.02022
6667079.905,2187968.265,0.86682
6667084.455,2187968.093,1.35677
6667089.131,2187967.944,0.65604
6667093.938,2187967.798,1.83982
6667098.708,2187967.655,1.42737
6667103.601,2187967.608,1.72682
6667108.555,2187967.378,1.3277
6667113.41,2187967.148,1.76476
6667118.234,2187966.98,2.04596
6667123.189,2187966.804,1.10118
6667128.171,2187966.737,0.91842
6667133.11,2187966.665,2.23416
